,Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
194,CNC Operater (potopne in žične erozije),/,Komenda,"Plamtex INT., d.o.o.",https://www.mojedelo.com/cnc-operater-potopne-in-zicne-erozije/d-516093,,12.2.2021,Gorenjska,mojedelo.com
195,Grafični oblikovalec,/,Rakek,DS Smith Slovenija d.o.o.,https://www.mojedelo.com/graficni-oblikovalec/d-515961,"Pričakujemo: izobrazba vsaj VI. stopnje grafične ali druge podobne smeri, izkušnje s področja grafičnega oblikovanja, obvladovanje programov Adobe (Illustrator, InDesign in Photoshop) in MS Office (Power Point, Excel, VVord)...",11.2.2021,Primorsko-notranjska,mojedelo.com
196,Monter - Stavbni klepar - Krovec,/,Tujina,ESML d.o.o.,https://www.zaposlitev.info/delo/monter-stavbni-klepar-krovec-4/,"         	Montaža različnih fasad (aluminijaste fasade, sendvič paneli, izopaneli), 	potrebno poznavanje osnov kleparstva, 	delo na višini.",09.2.2021,Tujina,zaposlitev.info
197,Komisionar v hladilnici (m/ž) v Ljubljani,5.3.2021,Ljubljana,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/komisionar-v-hladilnici-mz-v-ljubljani-753672-753672/,"Stabilno in uspešno mednarodno podjetje širi svoj kolektiv! Če ste zanesljivi in samoiniciativni ter vam je dinamično delo v skladišču blizu, vas želimo spoznati. ",4.2.2021,Primorsko-notranjska,optius.com
198,Strokovni sodelavec za kopenski / letalski transport m/ž,/,Ljubljana ali Koper,Samer Global Logistics d.o.o.,https://www.mojedelo.com/strokovni-sodelavec-za-kopenski-letalski-transport-mz/d-475404,"Najmanj 3 leta delovnih izkušenj na področju kamionskih prevozov in letalskih prevozov, aktivno znanje angleškega jezika, zaželeno je znanje italijanskega jezika ni pa nujno.. Dobri pogoji dela, mesečno plačilo: po dogovoru, z dodatki - nagradni b...",19.02.2021,Primorsko-notranjska,mojedelo.com
199,ADMINISTRATOR - M/Ž,28. 01. 2021,VELENJE,"ALDIS TRADE, trgovina, posredništvo in druge storitve d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2647645&STATE=Savinjska,"PISARNIŠKA DELA, KOMUNIKACIJA S KUPCI, DOBAVITELJI, RAČUNOVODSTVOM, VODENJE EVIDENC, PRIPRAVA DOPISOV ",25.01.2021,Savinjska,iskanjedela.si
200,Prodajalec (m/ž) - Krško,28.2.2021,Krško - Stop Shop ,TEDi Betriebs d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-krsko-755202-755202/,/,17.2.2021,Posavska,optius.com
201,OPERATER NA STROJU ZA RAZREZ PLOČEVINE - M/Ž,19. 02. 2021,MARIBOR,"FORTIS MARIBOR, inženiring, obdelava kovin in ostale storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2644285&RECENCY=3DAYSAGO&STATE=Podravska,"LASERSKI RAZREZ RAZLIČNIH VRST PLOČEVINE IN AVTOGENI (PLAMENSKI) RAZREZ PLOČEVINE, BRANJE NAČRTOV IN RAZUMEVANJE TEHNIČNE DOKUMENTACIJE, POZNAVANJE LASTNOSTI RAZLIČNIH VRST PLOČEVINE, NALAGANJE MATERIALA ZA DELOVNI POSTOPEK, NADZOR PRAVILNEGA DELO...",04.02.2021,Podravska,iskanjedela.si
202,Projektant tehnologije 1 (m/ž) - 4 prosta delovna mesta,6.3.2021,Šempeter pri Gorici,MAHLE Electric Drives Slovenija d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/projektant-tehnologije-1-mz-4-prosta-delovna-mesta-754391-754391/,"Pojdimo dlje, hitreje in bodimo #StrongerTogether! Skupaj smo uspešnejši, zato imate priložnost, da v naši ekipi postanete zvezda.Naša strast nas je pripeljala do položaja vodilnega mednarodnega razvojnega partnerja in dobavitelja v avtomobilski i...",10.2.2021,Goriška,optius.com
203,Mesar - prodajalec (m/ž),19.3.2021,Logatec,Workforce d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/mesar-prodajalec-mz-755228-755228/,"Za priznano slovensko trgovsko podjetje, ki ima številne poslovalnice širom Slovenije, iščemo komunikativno, pozitivno in samoiniciativno osebo za zasedbo delovnega mesta Mesar – prodajalec (m/ž).",17.2.2021,Primorsko-notranjska,optius.com
