Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Procesni tehnolog (m/ž),/,Črnomelj,Livar d.d. Ivančna Gorica,https://www.mojedelo.com/procesni-tehnolog-mz/d-515775,"Vaše naloge in odgovornosti: optimizacija obstoječih procesov, izvedba analiz, priprava poročil in spremljanje proizvodnje s statističnimi metodami, ukrepi za izboljšave; preverja ustreznost in primernost izvajanja kontrolnih postopkov; sodeluje p...",9.2.2021,Jugovzhodna Slovenija,mojedelo.com
Strokovnjaka za finance in kontroling (m/ž) Finance and Controlling Expert (m/f),/,Žužemberk,ADECCO H.R. d.o.o.,https://www.mojedelo.com/strokovnjaka-za-finance-in-kontroling-mz-finance-and-controlling-expert-mf/d-515779,"Ste natančni in imate dobro oko pri finančnem kontrolingu? Če ste samostojni in hitro ugotovite, kako spremembe v proizvodnji vplivajo na finance. Potem imamo priložnost za vas. Z eno od naših dobro pozicioniranih strank na slovenskem trgu, ki je ...",9.2.2021,Jugovzhodna Slovenija,mojedelo.com
Mesar prodajalec - Šentjernej (m/ž),/,Novo mesto,WORKFORCE d.o.o. ,https://www.mojedelo.com/mesar-prodajalec-sentjernej-mz/d-515731,"Za priznano slovensko trgovsko podjetje, ki ima številne poslovalnice širom Slovenije, iščemo komunikativno, pozitivno in samoiniciativno osebo za zasedbo delovnega mesta Mesar – prodajalec (m/ž).",8.2.2021,Jugovzhodna Slovenija,mojedelo.com
Proizvodni delavec,/,JV Slovenija,WORKFORCE d.o.o. ,https://www.mojedelo.com/proizvodni-delavec/d-515730,"Za uspešno avtomobilsko podjetje iščemo motivirane, marljive, spretne in zanesljive kandidate, ki so pripravljeni opravljati dela v proizvodnji.",8.2.2021,Jugovzhodna Slovenija,mojedelo.com
Mesar prodajalec - Trebnje (m/ž),/,Novo mesto,WORKFORCE d.o.o. ,https://www.mojedelo.com/mesar-prodajalec-trebnje-mz/d-515729,"Za priznano slovensko trgovsko podjetje, ki ima številne poslovalnice širom Slovenije, iščemo komunikativno, pozitivno in samoiniciativno osebo za zasedbo delovnega mesta Mesar – prodajalec (m/ž).",8.2.2021,Jugovzhodna Slovenija,mojedelo.com
Samostojni komercialist (m/ž),/,Dolenjska,WORKFORCE d.o.o. ,https://www.mojedelo.com/samostojni-komercialist-mz/d-515728,"Uspešno, visokotehnološko podjetje, v svoje vrste vabi izkušene kandidate, ki imajo izkušnje na področju komerciale. Si želite kariero nadaljevati v prijetnem timu, kjer vam omogočajo osebno rast in podporo? Ne odlašajte s prijavo, pošljite nam jo...",8.2.2021,Jugovzhodna Slovenija,mojedelo.com
Delavec v proizvodnji avtosedežev (m/ž),/,Novo mesto,WORKFORCE d.o.o. ,https://www.mojedelo.com/delavec-v-proizvodnji-avtosedezev-mz/d-515725,"Za uspešno avtomobilsko podjetje iščemo motivirane, marljive, spretne in zanesljive kandidate, ki so pripravljeni opravljati dela v proizvodnji.",8.2.2021,Jugovzhodna Slovenija,mojedelo.com
CNC operater (m/ž),/,Dolenjska,WORKFORCE d.o.o. ,https://www.mojedelo.com/cnc-operater-mz/d-515724,"Uspešno podjetje v lesni branži, ki deluje na Dolenjskem, zaradi širitve svojega programa v svoje vrste vabi osebe, ki bi opravljale delo CNC operaterja (m/ž). Prijavite se še danes!",8.2.2021,Jugovzhodna Slovenija,mojedelo.com
Delavec v proizvodnji (m/Ž),/,okolica Trebnjega,WORKFORCE d.o.o. ,https://www.mojedelo.com/delavec-v-proizvodnji-mz/d-515723,"Naš naročnik je podjetje, ki se ukvarja z proizvodnjo polietilenske folije, v svoje vrste vabi več oseb na delovnem mestu Delavec na proizvodnji (m/ž), na oddelku ekstruzije.",8.2.2021,Jugovzhodna Slovenija,mojedelo.com
Brusilec m/ž,/,Višnja Gora ,Dolinox,https://www.mojedelo.com/brusilec-mz/d-514507,"Glavne naloge izbranega kandidata bodo: brušenje izdelkov in polizdelkov, brušenje sijaja pločevine, profilov in cevovodov, izvajanje meritev in zapisov o hrapavosti izdelka v skladu s specifikacijo ... Zaposlitev za nedoločen  čas neposredno pri ...",7.2.2021,Jugovzhodna Slovenija,mojedelo.com
Tehnolog za vodenje skladiščnega poslovanja,/,Ivančna Gorica,COOKINOX d.o.o.,https://www.mojedelo.com/tehnolog-za-vodenje-skladiscnega-poslovanja/d-514480,"Kaj pričakujemo: V. ali VI. stopnje izobrazbe strojne oz. druge ustrezne tehnične smeri, ustrezne izkušnje, obvezno obvladovanje dela v katerem izmed informacijskih sistemov - ERP, Znanje angleškega jezika in/ali nemškega jezika.",6.2.2021,Jugovzhodna Slovenija,mojedelo.com
Orodjar v vzdrževanju m/ž,/,Mirna,WORKFORCE d.o.o. ,https://www.mojedelo.com/orodjar-v-vzdrzevanju-mz/d-515716,"Za našega naročnika, z več kot 35 letno tradicijo delovanja, ki se ukvarja z izdelavo komponent iz termoplastov iščemo novega in izkušenega sodelavca za delovno mesto ORODJAR V VZDRŽEVANJU m/ž. Prijavite se čimprej.",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
Upravljalec stiskalnice m/ž,/,Okolica Novega mesta,WORKFORCE d.o.o. ,https://www.mojedelo.com/upravljalec-stiskalnice-mz/d-515710,"Uspešno mednarodno proizvodno podjetje, locirano v okolici Novega mesta zaradi želje po širitvi ekipe, vabi v svoj kolektiv novega sodelavca z nazivom UPRAVLJALEC STISKALNICE m/ž.",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
Upravljalec varilnega robota m/ž,/,Okolica Novega mesta,WORKFORCE d.o.o. ,https://www.mojedelo.com/upravljalec-varilnega-robota-mz/d-515709,"Uspešno mednarodno proizvodno podjetje, locirano v okolici Novega mesta zaradi želje po širitvi ekipe, vabi v svoj kolektiv novega sodelavca z nazivom UPRAVLJALEC VARILNEGA ROBOTA.",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
GLS kurir-ka v Novem mestu,/,Novo mesto,General logistics systems  d.o.o. - GLS pogodbeni partner,https://www.mojedelo.com/gls-kurir-ka-v-novem-mestu/d-515696,"Zaradi hitre rasti iščemo kurirja / kurirko, ki bo opravljal(-a) storitve razvoza in pobiranja paketnih pošiljk z dostavnim vozilom v Novem mestu.",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
Samostojni mizar m/ž,/,Novo mesto,Bobič Yacht Interior d.o.o.,https://www.mojedelo.com/samostojni-mizar-mz/d-515614,"Pričakujemo: izobrazbo lesarske usmeritve (mizar, lesarski tehnik), kar predstavlja prednost pri zaposlitvi, vendar to ni pogoj v primeru, da ima kandidat izkazana praktična znanja, navedena v opisu delovnega mesta, izkušnje z delom v lesni oz. po...",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
"Tehnik v Referenčnih substancah in materialih, Razvoj analitike (m/ž)",/,Novo mesto,"Krka, tovarna zdravil, d. d., Novo mesto ",https://www.mojedelo.com/tehnik-v-referencnih-substancah-in-materialih-razvoj-analitike-mz/d-515577,"Ponujamo: delo v mednarodnem poslovnem okolju, strokovno izpopolnjevanje, karierni razvoj in napredovanje ter dobre delovne razmere",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
"Samostojni razikovalec v Farmacevtski tehnologiji, Farmacevtski razvoj (m/ž)",/,Novo mesto,"Krka, tovarna zdravil, d. d., Novo mesto ",https://www.mojedelo.com/samostojni-razikovalec-v-farmacevtski-tehnologiji-farmacevtski-razvoj-mz/d-515581,"Ponujamo: delo v mednarodnem poslovnem okolju, strokovno izpopolnjevanje, karierni razvoj in napredovanje ter dobre delovne razmere",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
CNC operater (m/ž) v okolici Grosuplja,/,okolica Grosuplja,Trenkwalder d.o.o.,https://www.mojedelo.com/cnc-operater-mz-v-okolici-grosuplja/d-507640,"Odlična karierna priložnost za CNC operaterje! Pridružite se slovenskemu podjetju, ki se ukvarja z obdelavo kovin, ter si zagotovite konkurenčno plačilo, izplačilo božičnice in možnost nadaljnjega strokovnega razvoja. ",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
Operater v lesni industriji (m/ž) ,/,Dolenjska,Trenkwalder d.o.o.,https://www.mojedelo.com/operater-v-lesni-industriji-mz/d-512549,"Hitro rastoče slovensko podjetje s sodobno in robotizirano proizvodnjo širi svoj kolektiv! Če vas delo z obdelovalnimi stroji veseli, ne odlašajte s prijavo.",5.2.2021,Jugovzhodna Slovenija,mojedelo.com
Viličarist (m/ž) - ena izmena,/,Dolenjske Toplice,ADECCO H.R. d.o.o.,https://www.mojedelo.com/vilicarist-mz-ena-izmena/d-515424,"Adecco H.R. d.o.o., vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Zdravnik specialist fizikalne in rehabilitacijske medicine v Šmarjeških Toplicah,/,Šmarješke Toplice,Terme Krka d.o.o.,https://www.mojedelo.com/zdravnik-specialist-fizikalne-in-rehabilitacijske-medicine-v-smarjeskih-toplicah/d-515538,"* delo v ambulanti zdraviliške zdravstvene dejavnosti in v ambulanti specialistične diagnostične dejavnosti * sprejem gostov in zavarovancev na zdravljenje, zdravstveni pregled in odreditev fizikalne in medikamentozne terapije * sodelovanje s st...",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
Strojni inženir m/ž - za svetovanje in tehnično podporo,/,Grosuplje,GIA - S  d.o.o.,https://www.mojedelo.com/strojni-inzenir-mz-za-svetovanje-in-tehnicno-podporo/d-515510,"V kolikor ste končali ali zaključujete študij univerzitetne, visoke ali višje izobrazbe strojne smeri in imate željo sodelovati ter nadgraditi pridobljena znanja, Vas vabimo da se nam pridružite! Zaželjeni pogoji še: poznavanje strojnih instalacij...",4.2.2021,Jugovzhodna Slovenija,mojedelo.com
