Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
ELEKTROMONTER - M/Ž,17. 02. 2021,PTUJ,"CONVENTUS PROJECT, montaža industrijskih strojev in naprav, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652610&RECENCY=3DAYSAGO&STATE=Podravska,"VSA DELA PRI DEMONTAŽI IN MONTAŽI PREVODNIKOV, PORABNIKOV IN PREKLOPNIKOV. ",10.02.2021,Podravska,iskanjedela.si
VOZNIK TOVORNEGA VOZILA C+E - M/Ž,18. 02. 2021,LENART,"Avtoprevozništvo, Jani Jančič, s.p.",https://www.iskanjedela.si/search-jobs?jobId=2652550&RECENCY=3DAYSAGO&STATE=Podravska,"VOZI SE ŠPEDICIJA PO EVROPI, ŠUBODEN ",10.02.2021,Podravska,iskanjedela.si
MONTER KOVINSKIH KONSTRUKCIJ - M/Ž,20. 02. 2021,SLOVENSKA BISTRICA,"AR, ALU MONTAŽA, Andrej Ačko s.p.,",https://www.iskanjedela.si/search-jobs?jobId=2652905&RECENCY=3DAYSAGO&STATE=Podravska,MONTAŽA KOVINSKIH KONSTRUKCIJ. DELO SE IZVAJA V AVSTRIJI. ,10.02.2021,Podravska,iskanjedela.si
SPECIALIST ZA PROTIKOROZIJSKO ZAŠČITO - M/Ž,18. 02. 2021,MARIBOR,"FEROX, zaščita kovin, gradbeništvo, posredništvo, trgovina, najemi in storitve, d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652562&RECENCY=3DAYSAGO&STATE=Podravska,PROTIKOROZIJSKA ZAŠČITA JEKLA ,10.02.2021,Podravska,iskanjedela.si
"ZDRAVNIK/ZOBOZDRAVNIK BREZ SPECIALIZACIJE Z LICENCO, V OE ZOBOZDRAVSTVENO VARSTVO, SPLOŠNA ZOBOZDRAVSTVENA SLUŽBA ZA ODRASLE - M/Ž",15. 02. 2021,MARIBOR,ZDRAVSTVENI DOM DR. ADOLFA DROLCA MARIBOR,https://www.iskanjedela.si/search-jobs?jobId=2652648&RECENCY=3DAYSAGO&STATE=Podravska,"ENOSTAVNE IN ZAHTEVNE EKSTRAKCIJE ZOB, MANJŠI KIRURŠKI POSEGI V PODROČJU USTNE VOTLINE NA MEHKIH IN TRDIH TKIVIH, NUJNA POMOČ V PRIMERU BOLEČINE IN/ALI OTEKLINE V PODROČJU USTNE VOTLINE, DIAGNOSTIKA IN KONZERVATIVNO ZDRAVLJENJE BOLEZNI ZOB, DIAGNO...",10.02.2021,Podravska,iskanjedela.si
ELEKTRIČAR/KA - M/Ž,15. 02. 2021,PTUJ,"HERZWERK, elektro storitve in montaža Aleš Hercog s.p.",https://www.iskanjedela.si/search-jobs?jobId=2652691&RECENCY=3DAYSAGO&STATE=Podravska,MONTAŽA PLASTČNIH CEVI POLAGANJE KABLOV ( CAT7 ) VEZAVA UTP VTIČNIC ,10.02.2021,Podravska,iskanjedela.si
ZIDAR - M/Ž,18. 02. 2021,LENART,STORITVE Z LAHKO IN TEŽKO GRADBENO MEHANIZACIJO JOŽE DRUZOVIČ S.P.,https://www.iskanjedela.si/search-jobs?jobId=2652529&RECENCY=3DAYSAGO&STATE=Podravska,"ZIDARSKA DELA, ZIDANJE, OPAŽEVANJE ",10.02.2021,Podravska,iskanjedela.si
GRADBENI DELAVEC - M/Ž,18. 02. 2021,LENART,STORITVE Z LAHKO IN TEŽKO GRADBENO MEHANIZACIJO JOŽE DRUZOVIČ S.P.,https://www.iskanjedela.si/search-jobs?jobId=2652561&RECENCY=3DAYSAGO&STATE=Podravska,ROČNA DELA IN DELA Z LAŽJIMI GRADBENIMI STROJI ,10.02.2021,Podravska,iskanjedela.si
SVETOVALEC (M/Ž) V OBMOČNI GEODETSKI UPRAVI PTUJ - M/Ž,18. 02. 2021,LJUBLJANA,"MINISTRSTVO ZA OKOLJE IN PROSTOR, GEODETSKA UPRAVA REPUBLIKE SLOVENIJE",https://www.iskanjedela.si/search-jobs?jobId=2652675&RECENCY=3DAYSAGO&STATE=Podravska,"DELOVNO PODROČJE: POMOČ PRI PRIPRAVI PREDPISOV IN DRUGIH ZAHTEVNEJŠIH GRADIV; ZBIRANJE, UREJANJE IN PRIPRAVA PODATKOV ZA OBLIKOVANJE ZAHTEVNEJŠIH GRADIV; SAMOSTOJNO OBLIKOVANJE MANJ ZAHTEVNIH GRADIV S PREDLOGI UKREPOV; VODENJE IN ODLOČANJE V ZAHTE...",10.02.2021,Podravska,iskanjedela.si
LOGIST - M/Ž,15. 02. 2021,MARIBOR,"HART, družba za transport, logistiko, trgovino in druge storitve d.o.o.",https://www.iskanjedela.si/search-jobs?jobId=2652545&RECENCY=3DAYSAGO&STATE=Podravska,ORGANIZACIJA TRANSPORTNIH STORITEV V DOMAČEM IN MEDNARODNEM TOVORNEM PROMETU ,10.02.2021,Podravska,iskanjedela.si
