Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Prodajalec m/ž,4.3.2021,domača regija,PROAKTIV PLUS d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/prodajalec-mz-754705-754705/,"Proaktiv plus d.o.o. je pričelo s svojim delovanjem v začetku 2010. Smo del vodilne nemške multinacionalke, ki je prisotna v več kot 50 državah sveta in smo ekskluzivni uvoznik za regijo.",12.2.2021,Gorenjska,optius.com
Upravljalec stroja (m/ž) v Kranju,13.3.2021,Kranj,Trenkwalder kadrovske storitve d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/upravljalec-stroja-mz-v-kranju-754653-754653/,"Imaš izkušnje z upravljanjem strojev in te to delo veseli? Oddaj prijavo in se pridruži inovativnemu podjetju, ki že vrsto let uspešno deluje v mednarodnem okolju. ",12.2.2021,Gorenjska,optius.com
Planer proizvodnje (m/ž),14.3.2021,Komenda,KataleaConsulting d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/planer-proizvodnje-mz-754672-754672/,"KataleaConsulting je kadrovsko svetovalno podjetje, ki združuje različne strokovnjake z znanjem in dolgoletnimi izkušnjami iz kadrovskega področja. Naši naročniki nam zaupajo zaradi strokovnosti in predanosti delu.Za našega naročnika, uspešno in m...",12.2.2021,Gorenjska,optius.com
Razvojni inženir za elektroniko (m/ž),3.3.2021,Komenda,RLS d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/razvojni-inzenir-za-elektroniko-mz-754491-754491/,"Najzaposlovalec 2017 in 2018, najizvoznik 2016, gazela 2015 so priznanja, ki podjetje RLS d.o.o. uvrščajo v sam vrh slovenskega gospodarstva.V podjetju RLS že 30 let razvijamo, izdelujemo in tržimo magnetne senzorje pomika in zasuka. Naše izdelke ...",11.2.2021,Gorenjska,optius.com
Patentni inženir m/ž,13.3.2021,Ljubljana,Elaphe d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/patentni-inzenir-mz-754498-754498/,Kandidat bo globoko vpleten v zbiranje evidenc o novih spoznanjih naših raziskovalcev in inženirjev. Zadolžen bo za pripravo patentnih predlogov (pojasnila tehničnih vidikov) za patentnega zastopnika. Delo vključuje analize podatkov iz patentnih b...,11.2.2021,Gorenjska,optius.com
Samostojni Svetovalec (m/ž) v OE Podjetniško trgovska zbornica (PTZ),19.2.2021,Ljubljana,Gospodarska zbornica Slovenije,https://www.optius.com/iskalci/prosta-delovna-mesta/samostojni-svetovalec-mz-v-oe-podjetnisko-trgovska-zbornica-ptz-754520-754520/,/,11.2.2021,Gorenjska,optius.com
Agent/-ka za podporo strankam v slovenskem in hrvaškem jeziku (m/ž),13.3.2021,Ljubljana,Vivovita d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/agent-ka-za-podporo-strankam-v-slovenskem-in-hrvaskem-jeziku-mz-754521-754521/,"V podjetju Vivovita d.o.o. s spletno trgovino Vivozebra vstopamo na nove evropske trge, zato potrebujemo dodatne okrepitve 🚀.V svojo ekipo vabimo novega sodelavca (m/ž) za podporo strankam v 🇸🇮 slovenskem in 🇭🇷 hrvaškem jeziku.Se rad/-a pogovarjaš...",11.2.2021,Gorenjska,optius.com
Tehnolog (m/ž) na področju metalurgije in dodelavnih storitev,23.2.2021,Naklo,"Mersteel SSC, d.o.o.",https://www.optius.com/iskalci/prosta-delovna-mesta/tehnolog-mz-na-podrocju-metalurgije-in-dodelavnih-storitev-754497-754497/,"Mersteel SSC, d.o.o. je vodilni ponudnik metalurških izdelkov in storitev v Sloveniji. Na kadrovskem področju stremimo k ustvarjanju delovnega okolja za uspešne in zadovoljne zaposlene. Vzpostavljen imamo motivacijski sistem nagrajevanja, na podla...",11.2.2021,Gorenjska,optius.com
Skrbnik za strojno opremo in prostor v proizvodnji (m/ž),28.2.2021,Kranj,Goodyear Dunlop Sava Tires d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/skrbnik-za-strojno-opremo-in-prostor-v-proizvodnji-mz-754507-754507/,/,11.2.2021,Gorenjska,optius.com
Vzdrževalec energetike m/ž,28.2.2021,Kranj,Goodyear Dunlop Sava Tires d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/vzdrzevalec-energetike-mz-754506-754506/,/,11.2.2021,Gorenjska,optius.com
Delavec v proizvodnji v Kranju m/ž,4.3.2021,Kranj,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-v-kranju-mz-754485-754485/,/,11.2.2021,Gorenjska,optius.com
Delavec v proizvodnji m/ž,13.3.2021,Gorenjska,Delos zaposlovanje d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-v-proizvodnji-mz-754519-754519/,Zaposlimo Delavca v proizvodnji m/ž.,11.2.2021,Gorenjska,optius.com
Delavec za lažja ročna dela m/ž,3.3.2021,Kranj,Kariera d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/delavec-za-lazja-rocna-dela-mz-754439-754439/,/,11.2.2021,Gorenjska,optius.com
B2B tržnik - možnost dela od doma (m/ž),1.3.2021,Delo od doma,Insis d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/b2b-trznik-moznost-dela-od-doma-mz-754422-754422/,"V mlad kolektiv podjetja Insis d.o.o. iz Nove Gorice vabimo dva nova sodelavca. Ker bo delo večinoma potekalo od doma, se lahko na delo prijavi vsak, ne glede na kraj bivališča. Prijava se izvede preko povezave.",11.2.2021,Gorenjska,optius.com
"Varilec MIG/MAG (m/ž), Gornja Radgona",13.3.2021,Gornja Radgona,Personal center d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/varilec-migmag-mz-gornja-radgona-754480-754480/,"Za na našega naročnika, ki je eden izmed najpomembnejših slovenskih proizvajalcev stavbnega pohištva, iščemo nove sodelavce v Gornji Radgoni - Varilec MIG/MAG m/ž. Opis del: montaža elektro instalacij v bivalne enote, izdelava in montaža elementov...",11.2.2021,Gorenjska,optius.com
Upravnik nepremičnin m/ž,12.3.2021,Šenčur,Ržišnik Perc d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/upravnik-nepremicnin-mz-754407-754407/,Ržišnik Perc d.o.o. k sodelovanju vabi UPRAVNIKA NEPREMIČNIN (m/ž) za izvajanje administrativnih nalog s področja upravljanja.,10.2.2021,Gorenjska,optius.com
Skrbnik ključnih kupcev (m/ž),12.3.2021,Komenda,Tehrol d.o.o.,https://www.optius.com/iskalci/prosta-delovna-mesta/skrbnik-kljucnih-kupcev-mz-754340-754340/,"V našem podjetju Tehrol d.o.o. se zavedamo, da so za dosego želenih poslovnih rezultatov v največji meri odgovorni, uspešni in zadovoljni zaposleni.Zato v svoj kolektiv vabimo kreativnega in samozavestnega sodelavca.",10.2.2021,Gorenjska,optius.com
Operater v klicnem centru Volvo za srbsko tržišče (m/ž),21.2.2021,Ljubljana,VCAG d.o.o. (VOLVO),https://www.optius.com/iskalci/prosta-delovna-mesta/operater-v-klicnem-centru-volvo-za-srbsko-trzisce-mz-754355-754355/,/,10.2.2021,Gorenjska,optius.com
