Title,Application_date,Place_of_work,Company,Url,Description,Date_of_announcement,Region,Site
Programer - tehnolog CNC stroja (m/ž),06.03.2021,Škofja Loka,"MOTOMAT, PROIZVODNJA, TRGOVINA IN STORITVE, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279513/Programer-tehnolog-CNC-stroja-mz/,"  - priprava programa - vnos programov - nastavitev orodja na stroju - skrb za čistost delovnih prostorov - čistost orodja, strojev, vzdrževanje strojev - odpravljanje manjših okvar",04.02.2021,Gorenjska,deloglasnik.si
Zidar (m/ž),28.02.2021,Kranj,PLAN 2 storitve d.o.o.,https://www.deloglasnik.si/Zaposlitev/279198/Zidar-mz/,  Gradbena dela v nizkih gradnjah.,29.01.2021,Gorenjska,deloglasnik.si
Voznik / strojnik TGM (m/ž),28.02.2021,Kranj,PLAN 2 storitve d.o.o.,https://www.deloglasnik.si/Zaposlitev/279197/Voznik-strojnik-TGM-mz/,"  Gradbeništvo, nizke gradnje.",29.01.2021,Gorenjska,deloglasnik.si
Delavec v gradbeništvu (m/ž),28.02.2021,Kranj,PLAN 2 storitve d.o.o.,https://www.deloglasnik.si/Zaposlitev/279196/Delavec-v-gradbenistvu-mz/,  Pomočnik pri gradbenih delih.,29.01.2021,Gorenjska,deloglasnik.si
Srednja medicinska sestra / zdravstveni tehnik - pripravnik,19.02.2021,Škofja Loka,"CENTER SLEPIH, SLABOVIDNIH IN STAREJŠIH ŠKOFJA LOKA",https://www.deloglasnik.si/Zaposlitev/278743/Srednja-medicinska-sestra-zdravstveni-tehnik-pripravnik/,  - usposabljanje za opravljanje del in nalog v skladu s pravilnikom o pripravništvu - izvajanje zdravstvene nege in varstva uporabnikov - nudenje medicinske pomoči - izvajanje zdravstvene nege po navodilih - hranjenje stanovalcev - izvajanje in s...,20.01.2021,Gorenjska,deloglasnik.si
Bolničar - negovalec (m/ž),19.02.2021,Škofja Loka,"CENTER SLEPIH, SLABOVIDNIH IN STAREJŠIH ŠKOFJA LOKA",https://www.deloglasnik.si/Zaposlitev/278744/Bolnicar-negovalec-mz/,  - pomoč pri zdravstveni oskrbi in negi stanovalcev - opazovanje stanja stanovalcev - pomoč pri zadovoljevanju osebnih potreb stanovalcev - hranjenje stanovalcev - urejanje neposrednega okolja stanovalcev,20.01.2021,Gorenjska,deloglasnik.si
Ključavničar (m/ž),19.02.2021,Jesenice,Katalea Consulting d.o.o.,https://www.deloglasnik.si/Zaposlitev/278686/Kljucavnicar-mz/,"  Ena izmed priložnosti je  kandidatura za delovno mesto:   Ključavničar, ki ga iščemo za našega naročnika, uspešno podjetje iz zgornjega dela Gorenjske.  Delovne naloge: - sestava različnih zvarjencev po načrtih oz. tehničnih risbah",20.01.2021,Gorenjska,deloglasnik.si
Kuhinjski pomočnik (m/ž),20.02.2021,Kranj,"Reina, d.d.",https://www.deloglasnik.si/Zaposlitev/278695/Kuhinjski-pomocnik-mz/,"  V podjetju Reina, d.o.o. vabimo v svoj kolektiv novega sodelavca za delovno mesto:   Kuhinjski pomočnik (m/ž).  Naloge in odgovornosti: - pomoč pri pripravi obrokov - pomožna dela v kuhinji - razdeljevanje obrokov - primeren in prijazen odnos do...",20.01.2021,Gorenjska,deloglasnik.si
Delavec na žagi (m/ž),05.03.2021,Kranj,"PROIZVODNJA, TRGOVINA IN STORITVE, DRAGO LONČAR S.P.",https://www.deloglasnik.si/Zaposlitev/280147/Delavec-na-zagi-mz/,"  Sortiranje, skobljanje, zlaganje lesa.",19.02.2021,Gorenjska,deloglasnik.si
Zidar - vzdrževalec objektov (m/ž),18.03.2021,"Kranj, Ljubljana",TA PROJEKT d.o.o.,https://www.deloglasnik.si/Zaposlitev/280035/Zidar-vzdrzevalec-objektov-mz/,"  Zaposlimo novega sodelavca za manjša zidarska dela, vzdrževalna dela, beljenje.  Kraj dela: teren Kranj, Ljubljana.",18.02.2021,Gorenjska,deloglasnik.si
Zidar / tesar (m/ž),18.03.2021,Radovljica,"PROMAS, GRADBENO IN STORITVENO PODJETJE, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279921/Zidar-tesar-mz/,  Zidanje in opaženje.  Število delovnih mest: 2,16.02.2021,Gorenjska,deloglasnik.si
Delavec v proizvodnji plastičnih izdelkov (m/ž),19.02.2021,Škofja Loka,"KOŠAN, elektrokovinsko podjetje, d.o.o.",https://www.deloglasnik.si/Zaposlitev/279734/Delavec-v-proizvodnji-plasticnih-izdelkov-mz/,  - kontrola kvalitete - tehtanje - zlaganje - sortiranje izdelkov iz plastike,11.02.2021,Gorenjska,deloglasnik.si
Delavec v vulkanizerstvu (m/ž),12.03.2021,Kranj,"KRISTANC, PODJETJE ZA VZDRŽEVANJE VOZIL, D.O.O.",https://www.deloglasnik.si/Zaposlitev/279658/Delavec-v-vulkanizerstvu-mz/,  Išče se kandidat/ka za delovno mesto:   Delavec v vulkanizerstvu (m/ž).,10.02.2021,Gorenjska,deloglasnik.si
Avtomehanik (m/ž),05.03.2021,Kranj,"TRGOVINA IN PREVOZI, SNEDIC PRIMOŽ S.P.",https://www.deloglasnik.si/Zaposlitev/279379/Avtomehanik-mz/,  Popravilo dostavnih vozil.,03.02.2021,Gorenjska,deloglasnik.si
